"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9245","Verify successful login with valid credentials","Automation Suite","Wed Apr 15 22:13:43 UTC 2026","passed","Wed Apr 15 22:13:52 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","validLoginTest"
"","5198","Verify error message with invalid credentials","Automation Suite","Wed Apr 15 22:13:43 UTC 2026","passed","Wed Apr 15 22:13:48 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","invalidLoginTest"
"","5228","Verify validation messages when fields are empty","Automation Suite","Wed Apr 15 22:13:43 UTC 2026","passed","Wed Apr 15 22:13:48 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","emptyFieldsTest"
