"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5052","Verify error message with invalid credentials","Automation Suite","Wed Apr 15 22:02:13 UTC 2026","passed","Wed Apr 15 22:02:18 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","invalidLoginTest"
"","9069","Verify successful login with valid credentials","Automation Suite","Wed Apr 15 22:02:13 UTC 2026","passed","Wed Apr 15 22:02:22 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","validLoginTest"
"","5093","Verify validation messages when fields are empty","Automation Suite","Wed Apr 15 22:02:13 UTC 2026","passed","Wed Apr 15 22:02:18 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","emptyFieldsTest"
